date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:08	2267/2267	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://0.gravatar.com/avatar/f0d09f0c4502b369745d61adc5998e30?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/0.gravatar.com/avatar/f0d09f0c4502b369745d61adc5998e305055.jpeg	(from https://ambersway.com/2018/04/10/day-20-cool-blue/)
17:45:11	107631/107631	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/06/radiation-crew-e1530224470849.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/06/radiation-crew-e15302244708494829.jpg	(from https://ambersway.com/2018/06/28/day-99-a-bittersweet-day/)
17:45:31	43189/43189	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/07/dsc01251az.jpg?w=477&h=318	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/07/dsc01251az5f4e.jpg	(from https://ambersway.com/2018/07/15/day-116-the-beach-it-soothes-the-soul/)
17:45:38	89969/89969	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/07/dsc01770z.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/07/dsc01770z4829.jpg	(from https://ambersway.com/2018/07/15/day-116-the-beach-it-soothes-the-soul/)
17:45:38	2511/2511	URF---	200	untouched ('OK%20(cached)')	image/png		https://0.gravatar.com/avatar/350ed0291cdf714adb7fa47ff005c511?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/0.gravatar.com/avatar/350ed0291cdf714adb7fa47ff005c5115055.png	(from https://ambersway.com/2018/04/11/day-21-ice-cream-for-breakfast/)
17:45:59	140807/140807	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/07/img_20180711_152926950_hdrz-e1531689654461.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/07/img_20180711_152926950_hdrz-e15316896544614829.jpg	(from https://ambersway.com/2018/07/15/day-116-the-beach-it-soothes-the-soul/)
17:46:01	8226/8226	URF---	200	untouched ('OK%20(cached)')	image/png		https://1.gravatar.com/avatar/da7fb51b4850b23d75d92d03ba57b4d8?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/1.gravatar.com/avatar/da7fb51b4850b23d75d92d03ba57b4d85055.png	(from https://ambersway.com/2018/07/15/day-116-the-beach-it-soothes-the-soul/)
17:46:09	1215/1215	URF---	200	untouched ('OK%20(cached)')	image/png		https://1.gravatar.com/avatar/a7cd163668c741448b93aaafaa3df0b2?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/1.gravatar.com/avatar/a7cd163668c741448b93aaafaa3df0b25055.png	(from https://ambersway.com/2018/04/12/day-22-snuggle-time/)
17:46:27	22453/22453	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/07/bikeblog.jpg?w=300&h=225	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/07/bikeblog423a.jpg	(from https://ambersway.com/2018/07/22/day-123-ambers-way-around/)
17:46:39	1992/1992	URF---	200	untouched ('OK%20(cached)')	image/png		https://2.gravatar.com/avatar/e04f3c0782831591db8a413ab21912b4?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/2.gravatar.com/avatar/e04f3c0782831591db8a413ab21912b45055.png	(from https://ambersway.com/2018/04/12/day-22-evening-addition/)
17:46:46	20309/20309	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/07/saltyblog.jpg?w=300&h=237	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/07/saltyblog6b8b.jpg	(from https://ambersway.com/2018/07/22/day-123-ambers-way-around/)
17:46:49	14334/14334	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/07/starsandstripesblog.jpg?w=126&h=300	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/07/starsandstripesblog52c4.jpg	(from https://ambersway.com/2018/07/22/day-123-ambers-way-around/)
17:47:10	1967/1967	URF---	200	untouched ('OK%20(cached)')	image/png		https://2.gravatar.com/avatar/2cc2c677f2c6aa2d546ae8673dc888eb?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/2.gravatar.com/avatar/2cc2c677f2c6aa2d546ae8673dc888eb5055.png	(from https://ambersway.com/2018/04/13/day-23-she-blew-me-a-kiss/)
